# Dataset A:
E_level = 1000(3) keV; Jπ: unknown.
E_level = 2000(4) keV; Jπ: unknown.
E_level = 3000(2) keV; Jπ: 2+.
E_level = 3005(2) keV; Jπ: 1-.
E_level = 4000(2) keV; Jπ: (1)-
E_level = 4005(2) keV; Jπ: (2)+.
E_level = 5200(3) keV; Jπ: unknown.

# Dataset B:
E_level = 1005(3) keV; Jπ: unknown.
E_level = 2008(2) keV; Jπ: unknown.
E_level = 3000(1) keV; Jπ: 1-.
E_level = 4000(2) keV; Jπ: 2(+), 3(+).
E_level = 5000(3) keV; Jπ: unknown.

# Dataset C:
E_level = 1010(30) keV; Jπ: unknown.
E_level = 2010(40) keV; Jπ: unknown.
E_level = 3005(30) keV; Jπ: unknown.
E_level = 4000(30) keV; Jπ: 1:3.
E_level = 5005(30) keV; Jπ: unknown.

